"y","llm","topic","quiz","item","quiz_id"
1,"claude-opus-4-5-20251101","Infectious Disease","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-003","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"claude-opus-4-5-20251101","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-004","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"claude-opus-4-5-20251101","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-005","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"claude-opus-4-5-20251101","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-006","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"claude-opus-4-5-20251101","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-007","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"claude-opus-4-5-20251101","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-008","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"claude-opus-4-5-20251101","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-009","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"claude-opus-4-5-20251101","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-010","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"deepseek-v3.2","Gastrointestinal","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-001","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"deepseek-v3.2","Pulmonary","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-002","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"deepseek-v3.2","Infectious Disease","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-003","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"deepseek-v3.2","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-004","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"deepseek-v3.2","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-005","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"deepseek-v3.2","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-006","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"deepseek-v3.2","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-007","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"deepseek-v3.2","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-008","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"deepseek-v3.2","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-009","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"deepseek-v3.2","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-010","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-2.5-flash-lite","Gastrointestinal","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-001","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-2.5-flash-lite","Pulmonary","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-002","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-2.5-flash-lite","Infectious Disease","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-003","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-2.5-flash-lite","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-004","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-2.5-flash-lite","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-005","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"gemini-2.5-flash-lite","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-006","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-2.5-flash-lite","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-007","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"gemini-2.5-flash-lite","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-008","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-2.5-flash-lite","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-009","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-2.5-flash-lite","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-010","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-3-pro-preview","Gastrointestinal","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-001","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-3-pro-preview","Pulmonary","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-002","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-3-pro-preview","Infectious Disease","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-003","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-3-pro-preview","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-004","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-3-pro-preview","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-005","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-3-pro-preview","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-006","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"gemini-3-pro-preview","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-007","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-3-pro-preview","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-008","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-3-pro-preview","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-009","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gemini-3-pro-preview","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-010","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5-nano-2025-08-07","Gastrointestinal","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-001","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"gpt-5-nano-2025-08-07","Pulmonary","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-002","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5-nano-2025-08-07","Infectious Disease","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-003","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5-nano-2025-08-07","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-004","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5-nano-2025-08-07","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-005","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5-nano-2025-08-07","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-006","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"gpt-5-nano-2025-08-07","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-007","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"gpt-5-nano-2025-08-07","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-008","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5-nano-2025-08-07","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-009","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5-nano-2025-08-07","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-010","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5.1-2025-11-13","Gastrointestinal","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-001","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5.1-2025-11-13","Pulmonary","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-002","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5.1-2025-11-13","Infectious Disease","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-003","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5.1-2025-11-13","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-004","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5.1-2025-11-13","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-005","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5.1-2025-11-13","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-006","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"gpt-5.1-2025-11-13","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-007","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"gpt-5.1-2025-11-13","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-008","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5.1-2025-11-13","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-009","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"gpt-5.1-2025-11-13","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-010","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-0709","Gastrointestinal","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-001","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-0709","Pulmonary","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-002","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-0709","Infectious Disease","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-003","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-0709","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-004","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-0709","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-005","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-0709","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-006","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-0709","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-007","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"grok-4-0709","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-008","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-0709","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-009","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-0709","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-010","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-1-fast-reasoning","Gastrointestinal","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-001","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-1-fast-reasoning","Pulmonary","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-002","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-1-fast-reasoning","Infectious Disease","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-003","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-1-fast-reasoning","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-004","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-1-fast-reasoning","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-005","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"grok-4-1-fast-reasoning","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-006","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"grok-4-1-fast-reasoning","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-007","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"grok-4-1-fast-reasoning","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-008","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-1-fast-reasoning","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-009","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"grok-4-1-fast-reasoning","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-010","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"kimi-k2-thinking","Gastrointestinal","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-001","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"kimi-k2-thinking","Pulmonary","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-002","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"kimi-k2-thinking","Infectious Disease","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-003","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"kimi-k2-thinking","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-004","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"kimi-k2-thinking","Emergency Medicine","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-005","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"kimi-k2-thinking","Obstetrics and Gynecology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-006","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"kimi-k2-thinking","Psychiatry","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-007","ABMS20260101_claude-opus-4-5-20251101_p05"
0,"kimi-k2-thinking","Neurology","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-008","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"kimi-k2-thinking","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-009","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"kimi-k2-thinking","Pediatrics","claude-opus-4-5-20251101","ABMS20260101_claude-opus-4-5-20251101_p05-010","ABMS20260101_claude-opus-4-5-20251101_p05"
1,"claude-haiku-4-5-20251001","Pediatrics","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-001","ABMS20260101_deepseek-v3.2_p01"
1,"claude-haiku-4-5-20251001","Emergency Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-002","ABMS20260101_deepseek-v3.2_p01"
1,"claude-haiku-4-5-20251001","Obstetrics and Gynecology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-003","ABMS20260101_deepseek-v3.2_p01"
1,"claude-haiku-4-5-20251001","Anesthesiology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-004","ABMS20260101_deepseek-v3.2_p01"
0,"claude-haiku-4-5-20251001","Psychiatry","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-005","ABMS20260101_deepseek-v3.2_p01"
0,"claude-haiku-4-5-20251001","General Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-006","ABMS20260101_deepseek-v3.2_p01"
1,"claude-haiku-4-5-20251001","Ophthalmology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-007","ABMS20260101_deepseek-v3.2_p01"
1,"claude-haiku-4-5-20251001","Orthopedic Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-008","ABMS20260101_deepseek-v3.2_p01"
1,"claude-haiku-4-5-20251001","Critical Care Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-009","ABMS20260101_deepseek-v3.2_p01"
1,"claude-haiku-4-5-20251001","Neurology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-010","ABMS20260101_deepseek-v3.2_p01"
1,"claude-opus-4-5-20251101","Pediatrics","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-001","ABMS20260101_deepseek-v3.2_p01"
1,"claude-opus-4-5-20251101","Emergency Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-002","ABMS20260101_deepseek-v3.2_p01"
0,"claude-opus-4-5-20251101","Obstetrics and Gynecology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-003","ABMS20260101_deepseek-v3.2_p01"
1,"claude-opus-4-5-20251101","Anesthesiology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-004","ABMS20260101_deepseek-v3.2_p01"
1,"claude-opus-4-5-20251101","Psychiatry","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-005","ABMS20260101_deepseek-v3.2_p01"
1,"claude-opus-4-5-20251101","General Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-006","ABMS20260101_deepseek-v3.2_p01"
1,"claude-opus-4-5-20251101","Ophthalmology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-007","ABMS20260101_deepseek-v3.2_p01"
1,"claude-opus-4-5-20251101","Orthopedic Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-008","ABMS20260101_deepseek-v3.2_p01"
1,"claude-opus-4-5-20251101","Critical Care Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-009","ABMS20260101_deepseek-v3.2_p01"
1,"claude-opus-4-5-20251101","Neurology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-010","ABMS20260101_deepseek-v3.2_p01"
1,"deepseek-v3.2","Pediatrics","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-001","ABMS20260101_deepseek-v3.2_p01"
1,"deepseek-v3.2","Emergency Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-002","ABMS20260101_deepseek-v3.2_p01"
1,"deepseek-v3.2","Obstetrics and Gynecology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-003","ABMS20260101_deepseek-v3.2_p01"
1,"deepseek-v3.2","Anesthesiology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-004","ABMS20260101_deepseek-v3.2_p01"
0,"deepseek-v3.2","Psychiatry","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-005","ABMS20260101_deepseek-v3.2_p01"
1,"deepseek-v3.2","General Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-006","ABMS20260101_deepseek-v3.2_p01"
1,"deepseek-v3.2","Ophthalmology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-007","ABMS20260101_deepseek-v3.2_p01"
1,"deepseek-v3.2","Orthopedic Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-008","ABMS20260101_deepseek-v3.2_p01"
1,"deepseek-v3.2","Critical Care Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-009","ABMS20260101_deepseek-v3.2_p01"
1,"deepseek-v3.2","Neurology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-010","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-2.5-flash-lite","Pediatrics","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-001","ABMS20260101_deepseek-v3.2_p01"
0,"gemini-2.5-flash-lite","Emergency Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-002","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-2.5-flash-lite","Obstetrics and Gynecology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-003","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-2.5-flash-lite","Anesthesiology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-004","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-2.5-flash-lite","Psychiatry","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-005","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-2.5-flash-lite","General Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-006","ABMS20260101_deepseek-v3.2_p01"
0,"gemini-2.5-flash-lite","Ophthalmology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-007","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-2.5-flash-lite","Orthopedic Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-008","ABMS20260101_deepseek-v3.2_p01"
0,"gemini-2.5-flash-lite","Critical Care Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-009","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-2.5-flash-lite","Neurology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-010","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-3-pro-preview","Pediatrics","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-001","ABMS20260101_deepseek-v3.2_p01"
0,"gemini-3-pro-preview","Emergency Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-002","ABMS20260101_deepseek-v3.2_p01"
0,"gemini-3-pro-preview","Obstetrics and Gynecology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-003","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-3-pro-preview","Anesthesiology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-004","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-3-pro-preview","Psychiatry","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-005","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-3-pro-preview","General Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-006","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-3-pro-preview","Ophthalmology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-007","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-3-pro-preview","Orthopedic Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-008","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-3-pro-preview","Critical Care Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-009","ABMS20260101_deepseek-v3.2_p01"
1,"gemini-3-pro-preview","Neurology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-010","ABMS20260101_deepseek-v3.2_p01"
0,"gpt-5-nano-2025-08-07","Pediatrics","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-001","ABMS20260101_deepseek-v3.2_p01"
0,"gpt-5-nano-2025-08-07","Emergency Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-002","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5-nano-2025-08-07","Obstetrics and Gynecology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-003","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5-nano-2025-08-07","Anesthesiology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-004","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5-nano-2025-08-07","Psychiatry","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-005","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5-nano-2025-08-07","General Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-006","ABMS20260101_deepseek-v3.2_p01"
0,"gpt-5-nano-2025-08-07","Ophthalmology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-007","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5-nano-2025-08-07","Orthopedic Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-008","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5-nano-2025-08-07","Critical Care Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-009","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5-nano-2025-08-07","Neurology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-010","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5.1-2025-11-13","Pediatrics","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-001","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5.1-2025-11-13","Emergency Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-002","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5.1-2025-11-13","Obstetrics and Gynecology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-003","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5.1-2025-11-13","Anesthesiology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-004","ABMS20260101_deepseek-v3.2_p01"
0,"gpt-5.1-2025-11-13","Psychiatry","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-005","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5.1-2025-11-13","General Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-006","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5.1-2025-11-13","Ophthalmology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-007","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5.1-2025-11-13","Orthopedic Surgery","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-008","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5.1-2025-11-13","Critical Care Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-009","ABMS20260101_deepseek-v3.2_p01"
1,"gpt-5.1-2025-11-13","Neurology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-010","ABMS20260101_deepseek-v3.2_p01"
1,"grok-4-0709","Pediatrics","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-001","ABMS20260101_deepseek-v3.2_p01"
1,"grok-4-0709","Emergency Medicine","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-002","ABMS20260101_deepseek-v3.2_p01"
1,"grok-4-0709","Obstetrics and Gynecology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-003","ABMS20260101_deepseek-v3.2_p01"
1,"grok-4-0709","Anesthesiology","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-004","ABMS20260101_deepseek-v3.2_p01"
0,"grok-4-0709","Psychiatry","deepseek-v3.2","ABMS20260101_deepseek-v3.2_p01-005","ABMS20260101_deepseek-v3.2_p01"
