"item","p_item","n_llms","topic","quiz"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-010",1,10,"Allergy/Immunology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-001",1,10,"Geriatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-002",1,10,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-003",1,10,"Emergency Medicine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-004",0.6,10,"Obstetrics and Gynecology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-005",1,10,"Anesthesiology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-006",1,10,"Psychiatry","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-007",1,10,"General Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-008",1,10,"Neurology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-009",0.8,10,"Cardiovascular","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-010",0.6,10,"Endocrine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-001",1,10,"Gastrointestinal","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-002",1,10,"Pulmonary","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-003",0.4,10,"Infectious Disease","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-004",0.3,10,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-005",1,10,"Emergency Medicine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-006",0.7,10,"Obstetrics and Gynecology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-007",1,10,"Psychiatry","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-008",0.9,10,"Neurology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-009",1,10,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-010",1,10,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-001",0.5,10,"Pediatrics","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-002",1,10,"Emergency Medicine","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-003",1,10,"Obstetrics and Gynecology","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-004",0.9,10,"Anesthesiology","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-005",0.9,10,"Psychiatry","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-006",0.9,10,"General Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-007",0.9,10,"Ophthalmology","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-008",0.8,10,"Orthopedic Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-009",1,10,"Critical Care Medicine","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-010",1,10,"Neurology","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-001",0.7,10,"Dermatology","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-002",1,10,"Urology","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-003",1,10,"Otolaryngology","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-004",1,10,"Physical Medicine and Rehabilitation","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-005",0.9,10,"Plastic Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-006",0.1,10,"Neurological Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-007",1,10,"Radiation Oncology","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-008",0.9,10,"Thoracic Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-009",1,10,"Vascular Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-010",0.9,10,"Cardiovascular","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-001",1,10,"Endocrine","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-002",0.9,10,"Gastrointestinal","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-003",1,10,"Pulmonary","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-004",0.3,10,"Nephrology","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-005",1,10,"Hematology","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-006",1,10,"Immunology","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-007",0.9,10,"Rheumatology/Musculoskeletal","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-008",1,10,"Infectious Disease","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-009",1,10,"Medical Oncology","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-010",0.9,10,"Allergy/Immunology","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-001",1,10,"Geriatrics","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-002",0.4,10,"Pediatrics","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-003",1,10,"Emergency Medicine","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-004",0.9,10,"Obstetrics and Gynecology","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-005",0.9,10,"Anesthesiology","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-006",1,10,"Psychiatry","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-007",1,10,"General Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-008",0.8,10,"Neurology","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-009",1,10,"Cardiovascular","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-010",1,10,"Endocrine","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-001",0.8,10,"Gastrointestinal","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-002",1,10,"Pulmonary","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-003",0.9,10,"Infectious Disease","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-004",1,10,"Pediatrics","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-005",0.4,10,"Emergency Medicine","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-006",1,10,"Obstetrics and Gynecology","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-007",1,10,"Psychiatry","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-008",1,10,"Neurology","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-009",0.9,10,"Pediatrics","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-010",0.2,10,"Pediatrics","grok-4-0709"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-001",0.3,10,"Pediatrics","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-002",0.3,10,"Emergency Medicine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-003",1,10,"Obstetrics and Gynecology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-004",1,10,"Anesthesiology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-005",1,10,"Psychiatry","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-006",0.8,10,"General Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-007",0.3,10,"Ophthalmology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-008",0.5,10,"Orthopedic Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-009",0.6,10,"Critical Care Medicine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-010",1,10,"Neurology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-001",1,10,"Dermatology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-002",0.6,10,"Urology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-003",0.7,10,"Otolaryngology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-004",1,10,"Physical Medicine and Rehabilitation","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-005",0.8,10,"Plastic Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-006",1,10,"Neurological Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-007",0.8,10,"Radiation Oncology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-008",0.9,10,"Thoracic Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-009",0.7,10,"Vascular Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-010",0.5,10,"Cardiovascular","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-001",1,10,"Endocrine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-002",0.8,10,"Gastrointestinal","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-003",1,10,"Pulmonary","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-004",1,10,"Nephrology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-005",0.7,10,"Hematology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-006",1,10,"Immunology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-007",0.9,10,"Rheumatology/Musculoskeletal","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-008",1,10,"Infectious Disease","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-009",1,10,"Medical Oncology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-010",0.6,10,"Allergy/Immunology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-001",0.3,10,"Geriatrics","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-002",1,10,"Pediatrics","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-003",1,10,"Emergency Medicine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-004",1,10,"Obstetrics and Gynecology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-005",0.9,10,"Anesthesiology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-006",0.9,10,"Psychiatry","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-007",0.4,10,"General Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-008",0.9,10,"Neurology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-009",1,10,"Cardiovascular","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-010",1,10,"Endocrine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-001",1,10,"Gastrointestinal","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-002",1,10,"Pulmonary","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-003",0.9,10,"Infectious Disease","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-004",1,10,"Pediatrics","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-005",1,10,"Emergency Medicine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-006",1,10,"Obstetrics and Gynecology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-007",1,10,"Psychiatry","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-008",0.9,10,"Neurology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-009",0.6,10,"Pediatrics","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-010",0.9,10,"Pediatrics","kimi-k2-thinking"
